trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
1,False,"{'a': 0.1, 'e': 0.95}",56,28,-97.7095453813,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 2}",1,0.05,0.1
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",40,0,-230.882063187,"{0: 27, 1: 1, 2: 7, 3: 1, 4: 4}",0,0.05,0.1
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",32,21,-41.2914954136,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1,0.05,0.1
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",40,0,-199.957604511,"{0: 25, 1: 1, 2: 10, 3: 2, 4: 2}",0,0.05,0.1
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",32,26,-7.72166672482,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1,0.05,0.1
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",40,0,-178.137642263,"{0: 25, 1: 8, 2: 4, 3: 0, 4: 3}",0,0.05,0.1
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",48,0,-97.5844319658,"{0: 36, 1: 5, 2: 5, 3: 1, 4: 1}",0,0.05,0.1
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",48,0,-155.275254226,"{0: 31, 1: 8, 2: 6, 3: 2, 4: 1}",0,0.05,0.1
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",40,0,-125.875692189,"{0: 31, 1: 1, 2: 5, 3: 1, 4: 2}",0,0.05,0.1
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",48,28,-76.3846205109,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1,0.05,0.1
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",40,0,-49.2342242134,"{0: 33, 1: 1, 2: 4, 3: 2, 4: 0}",0,0.05,0.1
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",40,28,-49.1265789298,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1,0.05,0.1
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",56,39,-47.5115759062,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1,0.05,0.1
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",40,0,-190.878325608,"{0: 33, 1: 1, 2: 0, 3: 1, 4: 5}",0,0.05,0.1
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",32,2,-117.493614822,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",1,0.05,0.1
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",48,24,13.0223693534,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1,0.05,0.1
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",40,5,-60.9162393412,"{0: 28, 1: 3, 2: 2, 3: 1, 4: 1}",1,0.05,0.1
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",40,2,44.8066612831,"{0: 38, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",40,32,8.08902728119,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",56,27,34.5898772563,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
1,True,"{'a': 0, 'e': 0}",40,24,-15.6078641482,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.05,0.1
2,True,"{'a': 0, 'e': 0}",32,20,23.5712575131,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
3,True,"{'a': 0, 'e': 0}",48,40,14.3183991432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
4,True,"{'a': 0, 'e': 0}",32,15,23.3906244367,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
5,True,"{'a': 0, 'e': 0}",48,35,-22.1913887064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.05,0.1
6,True,"{'a': 0, 'e': 0}",32,22,10.7054626911,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.05,0.1
7,True,"{'a': 0, 'e': 0}",40,18,-14.6575689053,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.05,0.1
8,True,"{'a': 0, 'e': 0}",32,3,19.4118274631,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.05,0.1
