trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
1,False,"{'a': 0.4, 'e': 0.97530991202833262}",32,0,-182.01264647,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 2}",0,-0.025,0.4
2,False,"{'a': 0.4, 'e': 0.9512294245007139}",32,0,-253.489509854,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 4}",0,-0.025,0.4
3,False,"{'a': 0.4, 'e': 0.92774348632855275}",40,0,-158.208827022,"{0: 26, 1: 4, 2: 8, 3: 0, 4: 2}",0,-0.025,0.4
4,False,"{'a': 0.4, 'e': 0.90483741803595941}",32,0,-261.211763061,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 4}",0,-0.025,0.4
5,False,"{'a': 0.4, 'e': 0.88249690258459523}",48,0,-317.786289221,"{0: 25, 1: 5, 2: 13, 3: 1, 4: 4}",0,-0.025,0.4
6,False,"{'a': 0.4, 'e': 0.86070797642505759}",40,0,-152.773798481,"{0: 27, 1: 5, 2: 5, 3: 1, 4: 2}",0,-0.025,0.4
7,False,"{'a': 0.4, 'e': 0.83945702076920714}",48,0,-182.521042958,"{0: 36, 1: 1, 2: 7, 3: 1, 4: 3}",0,-0.025,0.4
8,False,"{'a': 0.4, 'e': 0.8187307530779816}",40,16,-215.42134817,"{0: 13, 1: 2, 2: 2, 3: 4, 4: 3}",1,-0.025,0.4
9,False,"{'a': 0.4, 'e': 0.79851621875937673}",32,0,-134.595408155,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 2}",0,-0.025,0.4
10,False,"{'a': 0.4, 'e': 0.77880078307140455}",32,0,-172.029382161,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 3}",0,-0.025,0.4
11,False,"{'a': 0.4, 'e': 0.75957212322496814}",32,0,-169.841849226,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 2}",0,-0.025,0.4
12,False,"{'a': 0.4, 'e': 0.74081822068171754}",48,0,-215.727588031,"{0: 32, 1: 6, 2: 5, 3: 2, 4: 3}",0,-0.025,0.4
13,False,"{'a': 0.4, 'e': 0.72252735364207188}",32,20,19.4133716514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.025,0.4
14,False,"{'a': 0.4, 'e': 0.70468808971871311}",32,0,-186.356434703,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 3}",0,-0.025,0.4
15,False,"{'a': 0.4, 'e': 0.68728927879097179}",40,17,-43.2255323815,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1,-0.025,0.4
16,False,"{'a': 0.4, 'e': 0.67032004603563888}",40,12,-64.423019786,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 1}",1,-0.025,0.4
17,False,"{'a': 0.4, 'e': 0.65376978512984685}",32,0,-224.27303015,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 4}",0,-0.025,0.4
18,False,"{'a': 0.4, 'e': 0.63762815162177289}",32,4,-124.636876563,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 3}",1,-0.025,0.4
19,False,"{'a': 0.4, 'e': 0.62188505646501968}",40,0,-157.819962486,"{0: 27, 1: 4, 2: 6, 3: 1, 4: 2}",0,-0.025,0.4
20,False,"{'a': 0.4, 'e': 0.60653065971263298}",32,25,-18.338951463,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1,-0.025,0.4
21,False,"{'a': 0.4, 'e': 0.59155536436681466}",32,0,-217.654887448,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 5}",0,-0.025,0.4
22,False,"{'a': 0.4, 'e': 0.57694981038048621}",40,5,-93.6917779623,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",1,-0.025,0.4
23,False,"{'a': 0.4, 'e': 0.56270486880695514}",40,9,-54.8483534413,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 1}",1,-0.025,0.4
24,False,"{'a': 0.4, 'e': 0.54881163609402583}",40,31,-57.4323916296,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1,-0.025,0.4
